Solves the problem f(x) = 0 on interval [a,b] using the bisection algorithm
Enter a: 0
Enter b: 1
Enter tolerance: 0.0000005
Enter maxIteration: 24
Monitor iterations? (1/0): 1
Iter 0: x = 0.5, dx = 0.5, a = 0, b = 1, f(x) = 0.3981570233
Iter 1: x = 0.75, dx = 0.25, a = 0.5, b = 1, f(x) = 0.05005010885
Iter 2: x = 0.875, dx = 0.125, a = 0.75, b = 1, f(x) = -0.1265466441
Iter 3: x = 0.8125, dx = 0.0625, a = 0.75, b = 0.875, f(x) = -0.03832309304
Iter 4: x = 0.78125, dx = 0.03125, a = 0.75, b = 0.8125, f(x) = 0.005866372112
Iter 5: x = 0.796875, dx = 0.015625, a = 0.78125, b = 0.8125, f(x) = -0.01623034167
Iter 6: x = 0.789062, dx = 0.0078125, a = 0.78125, b = 0.796875, f(x) = -0.005182142923
Iter 7: x = 0.785156, dx = 0.00390625, a = 0.78125, b = 0.789062, f(x) = 0.0003421172043
Iter 8: x = 0.787109, dx = 0.00195312, a = 0.785156, b = 0.789062, f(x) = -0.002420017475
Iter 9: x = 0.786133, dx = 0.000976562, a = 0.785156, b = 0.787109, f(x) = -0.001038950631
Iter 10: x = 0.785645, dx = 0.000488281, a = 0.785156, b = 0.786133, f(x) = -0.0003484167549
Iter 11: x = 0.7854, dx = 0.000244141, a = 0.785156, b = 0.785645, f(x) = -3.14977541e-06
Iter 12: x = 0.785278, dx = 0.00012207, a = 0.785156, b = 0.7854, f(x) = 0.0001694837157
Iter 13: x = 0.785339, dx = 6.10352e-05, a = 0.785278, b = 0.7854, f(x) = 8.316697029e-05
Iter 14: x = 0.78537, dx = 3.05176e-05, a = 0.785339, b = 0.7854, f(x) = 4.000859746e-05
Iter 15: x = 0.785385, dx = 1.52588e-05, a = 0.78537, b = 0.7854, f(x) = 1.842941103e-05
Iter 16: x = 0.785393, dx = 7.62939e-06, a = 0.785385, b = 0.7854, f(x) = 7.639817809e-06
Iter 17: x = 0.785397, dx = 3.8147e-06, a = 0.785393, b = 0.7854, f(x) = 2.245021199e-06
Iter 18: x = 0.785398, dx = 1.90735e-06, a = 0.785397, b = 0.7854, f(x) = -4.523771053e-07
Iter 19: x = 0.785398, dx = 9.53674e-07, a = 0.785397, b = 0.785398, f(x) = 8.963220469e-07
Iter 20: x = 0.785398, dx = 4.76837e-07, a = 0.785398, b = 0.785398, f(x) = 2.219724707e-07
The root is 0.785398
f(0.785398) = 2.21972e-07 
